# service [domain];url;validate;service_caption;host_caption [service]
Google-dns-test;8.8.8.8:53;tcp;;
fonbet9_vip;http://www.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://account.fonbet9.vip/MyAccount/test_object.js;http;;
fonbet9_vip;http://results.fonbet9.vip/test_object.js;http;;
fonbet9_vip;http://stat.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://bets.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://live.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://toto.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://racing.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://fivelevel.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://virtualsports.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://toto-info.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://games.fonbet9.vip/test_object.js;http;;
#fonbet10_vip;http://fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://m.fonbet10.vip/favicons/manifest.json;http/json;;
#fonbet10_vip;http://www.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://account.fonbet10.vip/MyAccount/test_object.js;http;;
#fonbet10_vip;http://results.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;http://stat.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://bets.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://live.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://toto.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://racing.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://fivelevel.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://virtualsports.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://toto-info.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://games.fonbet10.vip/test_object.js;http;;
#fbls_banned;173.0.146.28/cipl/test_object.js;http;;maybe banned - 173.0.146.28
#fbls_banned;173.0.146.32/cipl/test_object.js;http;;maybe banned - 173.0.146.32
#fbls_banned;173.0.146.33/cipl/test_object.js;http;;maybe banned - 173.0.146.33
#fbls_banned;173.0.146.39/cipl/test_object.js;http;;maybe banned - 173.0.146.39
#fbls_banned;173.0.146.40/cipl/test_object.js;http;;maybe banned - 173.0.146.40
#fbls_banned;173.0.146.51/cipl/test_object.js;http;;maybe banned - 173.0.146.51
#fbls_banned;173.0.146.52/cipl/test_object.js;http;;maybe banned - 173.0.146.52
#fbls_banned;173.0.146.65/cipl/test_object.js;http;;maybe banned - 173.0.146.65
#fbls_banned;173.0.146.151/cipl/test_object.js;http;;maybe banned - 173.0.146.151
#fbls_banned;173.0.146.152/cipl/test_object.js;http;;maybe banned - 173.0.146.152
#fbls_banned;173.0.146.167/cipl/test_object.js;http;;maybe banned - 173.0.146.167
#fbls_banned;173.0.146.168/cipl/test_object.js;http;;maybe banned - 173.0.146.168
#fbls_banned;173.0.146.169/cipl/test_object.js;http;;maybe banned - 173.0.146.169
#fbls_banned;173.0.146.186/cipl/test_object.js;http;;maybe banned - 173.0.146.186
#fbls_banned;173.0.146.187/cipl/test_object.js;http;;maybe banned - 173.0.146.187
#fbls_banned;173.0.146.188/cipl/test_object.js;http;;maybe banned - 173.0.146.188
#fbls_banned;173.0.146.226/cipl/test_object.js;http;;maybe banned - 173.0.146.226
#fbls_banned;173.0.146.227/cipl/test_object.js;http;;maybe banned - 173.0.146.227
#fbls_banned;173.0.146.228/cipl/test_object.js;http;;maybe banned - 173.0.146.228
#fbls_banned;173.0.153.128/cipl/test_object.js;http;;maybe banned - 173.0.153.128
#fbls_banned;173.0.153.129/cipl/test_object.js;http;;maybe banned - 173.0.153.129
#fbls_banned;173.0.153.130/cipl/test_object.js;http;;maybe banned - 173.0.153.130
#fbls_banned;173.0.153.131/cipl/test_object.js;http;;maybe banned - 173.0.153.131
